Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Elementi di informatica in diagnostica per immagini","","","","","10.1007/978-88-470-1667-5","Roberto GrassiGiovanni PintoGiuseppe GuglielmiAlfredo Siani","2010","http://link.springer.com/book/10.1007/978-88-470-1667-5","Book"
"Informatica, Scuola, Communità: Uno Sguardo dall’ Occhio del Ciclone","Graph-Theoretic Concepts in Computer Science","","","","10.1007/3-540-46784-X_4","N. Santoro","1999","http://link.springer.com/chapter/10.1007/3-540-46784-X_4","Chapter"
"Acta Informatica","Acta Informatica","","1 / 1972 - 50 / 2013","","","","","http://link.springer.com/journal/236","Journal"
"Irizarry, Estell, Informática y literatura. Análisis de textos hispánicos","Computers and the Humanities","","33","3","10.1023/A:1002042802899","Antonio Cortijo Ocaña","1999","http://link.springer.com/article/10.1023/A%3A1002042802899","Article"
"Computer Education in Spain: From Early to Recent Times","History of Computing and Education 3 (Hce3)","","","","10.1007/978-0-387-09657-5_5","Ramon Puigjaner","2008","http://link.springer.com/chapter/10.1007/978-0-387-09657-5_5","Chapter"
"Bibliography","Bibliography on Abstract Data Types","","","","10.1007/978-3-642-69032-7_2","B. KutzlerF. Lichtenberger","1983","http://link.springer.com/chapter/10.1007/978-3-642-69032-7_2","Chapter"
"Bibliography of Petri nets 1990","Advances in Petri Nets 1991","","","","10.1007/BFb0019981","Helmut PlünneckeWolfgang Reisig","1991","http://link.springer.com/chapter/10.1007/BFb0019981","Chapter"
"Classified bibliography","Attribute Grammars","","","","10.1007/BFb0030512","","1988","http://link.springer.com/chapter/10.1007/BFb0030512","Chapter"
"Bibliography of Petri nets","Advances in Petri Nets 1987","","","","10.1007/3-540-18086-9_32","Stefan DreesDominik GommHelmut PlünneckeWolfgang ReisigRolf Walter","1987","http://link.springer.com/chapter/10.1007/3-540-18086-9_32","Chapter"
"Teaching HCI: A Challenging Intercultural, Interdisciplinary, Cross-Field Experience","Intercultural Collaboration","","","","10.1007/978-3-540-74000-1_26","Cristian RusuVirginia Rusu","2007","http://link.springer.com/chapter/10.1007/978-3-540-74000-1_26","Chapter"
"Erratum","Acta Informatica","","26","3","10.1007/BF00299637","","1988","http://link.springer.com/article/10.1007/BF00299637","Article"
"A tribute to referees","Acta Informatica","","12","4","10.1007/BF00268323","","1979","http://link.springer.com/article/10.1007/BF00268323","Article"
"Taba Workstation: Supporting Software Process Improvement Initiatives Based on Software Standards and Maturity Models","Software Process Improvement","","","","10.1007/11908562_19","Analia Irigoyen Ferreiro FerreiraGleison SantosRoberta CerqueiraMariano MontoniAhilton BarretoAna Regina RochaSávio FigueiredoAndrea BarretoReinaldo C. Silva FilhoPeter LupoCristina Cerdeiral","2006","http://link.springer.com/chapter/10.1007/11908562_19","Chapter"
"A tribute to referees","Acta Informatica","","10","4","10.1007/BF00265680","","1978","http://link.springer.com/article/10.1007/BF00265680","Article"
"Erratum","Acta Informatica","","26","8","10.1007/BF00289162","Demetres D. KouvatsosJohn Almond","1989","http://link.springer.com/article/10.1007/BF00289162","Article"
"Erratum","Acta Informatica","","26","5","10.1007/BF00289149","Demetres D. KouvatsosJohn Almond","1989","http://link.springer.com/article/10.1007/BF00289149","Article"
"Acknowledgement to referees","Acta Informatica","","26","8","10.1007/BF00289163","","1989","http://link.springer.com/article/10.1007/BF00289163","Article"
"Acknowledgement to referees","Acta Informatica","","28","8","10.1007/BF01261658","","1991","http://link.springer.com/article/10.1007/BF01261658","Article"
"Acknowledgement to referees","Acta Informatica","","22","6","10.1007/BF00263653","","1986","http://link.springer.com/article/10.1007/BF00263653","Article"
"Acknowledgement to Referees","Acta Informatica","","31","8","10.1007/BF01178736","","1994","http://link.springer.com/article/10.1007/BF01178736","Article"
"60th birthday of Professor Friedrich L. Bauer","Acta Informatica","","21","2","10.1007/BF00289242","Prof. Dr. Manfred BroyDr. Heinz Götze","1984","http://link.springer.com/article/10.1007/BF00289242","Article"
"Collaborative Research Training Based on Virtual Spaces","Key Competencies in the Knowledge Society","","","","10.1007/978-3-642-15378-5_33","Darío RodríguezRodolfo BertoneRamón García-Martínez","2010","http://link.springer.com/chapter/10.1007/978-3-642-15378-5_33","Chapter"
"Acknowledgement to referees","Acta Informatica","","27","8","10.1007/BF00264287","","1990","http://link.springer.com/article/10.1007/BF00264287","Article"
"Acknowledgement to referees","Acta Informatica","","33","5","10.1007/BF03036476","","1996","http://link.springer.com/article/10.1007/BF03036476","Article"
"Corrigenda","Acta Informatica","","8","4","10.1007/BF00271346","Burkhard Monien","1977","http://link.springer.com/article/10.1007/BF00271346","Article"
"Types in concurrency","Acta Informatica","","42","2 - 3","10.1007/s00236-005-0174-2","Rocco De NicolaDavide Sangiorgi","2005","http://link.springer.com/article/10.1007/s00236-005-0174-2","Article"
"General purpose schedulers for database systems","Acta Informatica","","15","4","10.1007/BF00264539","M. A. CasanovaP. A. Bernstein","1981","http://link.springer.com/article/10.1007/BF00264539","Article"
"Enterprise Governance of IT in Practice","Enterprise Governance of Information Technology","","","","10.1007/978-0-387-84882-2_2","Wim Van GrembergenSteven De Haes","2009","http://link.springer.com/chapter/10.1007/978-0-387-84882-2_2","Chapter"
"Axiomatic approach to side effects and general jumps","Acta Informatica","","7","4","10.1007/BF00289468","Dr. Tomasz Kowaltowski","1977","http://link.springer.com/article/10.1007/BF00289468","Article"
"Acknowledgement to Referees","Acta Informatica","","41","9","10.1007/s00236-005-0181-3","","2005","http://link.springer.com/article/10.1007/s00236-005-0181-3","Article"
"Parallel LL parsing","Acta Informatica","","44","1","10.1007/s00236-006-0032-x","Ladislav VagnerBořivoj Melichar","2007","http://link.springer.com/article/10.1007/s00236-006-0032-x","Article"
"Synchronization in a layered system","Operating Systems","","","","10.1007/3-540-08755-9_7","Klaus Lagally","1978","http://link.springer.com/chapter/10.1007/3-540-08755-9_7","Chapter"
"Acknowledgement to referees","Acta Informatica","","32","8","10.1007/BF01178660","","1995","http://link.springer.com/article/10.1007/BF01178660","Article"
"Acknowledgement to referees","Acta Informatica","","43","8","10.1007/s00236-007-0039-y","","2007","http://link.springer.com/article/10.1007/s00236-007-0039-y","Article"
"Erratum to: Avoidable binary patterns in partial words","Acta Informatica","","49","1","10.1007/s00236-011-0149-4","F. Blanchet-SadriRobert MercaşSean SimmonsEric Weissenstein","2012","http://link.springer.com/article/10.1007/s00236-011-0149-4","Article"
"Acknowledgement to referees","Acta Informatica","","25","6","10.1007/BF00291056","","1988","http://link.springer.com/article/10.1007/BF00291056","Article"
"A reply to comments on “A comparison of two synchronizing concepts”","Acta Informatica","","2","2","10.1007/BF00264031","Per Brinch Hansen","1973","http://link.springer.com/article/10.1007/BF00264031","Article"
"Evolution of Computing in Spanish-Speaking Countries","History of Computing and Education 2 (HCE2)","","","","10.1007/978-0-387-34741-7_2","John ImpagliazzoJulián AráozBenjamín BaránJosé ContrerasAna Pont SanjuanRamon Puigjaner","2006","http://link.springer.com/chapter/10.1007/978-0-387-34741-7_2","Chapter"
"Pirelli","Experiences in Software Evolution and Reuse","","","","10.1007/978-3-642-59160-0_12","Svein HallsteinsenMaddali Paci","1997","http://link.springer.com/chapter/10.1007/978-3-642-59160-0_12","Chapter"
"Remarks on “program proving: Jumps and functions by M. Clint and C. A. R. Hoare”","Acta Informatica","","6","3","10.1007/BF00288660","Prof. E. A. AshcroftM. ClintProf. C. A. R. Hoare","1976","http://link.springer.com/article/10.1007/BF00288660","Article"
"Editorial: Hybrid Systems","Acta Informatica","","43","7","10.1007/s00236-006-0034-8","Ernst-Rüdiger OlderogAnders P. Ravn","2007","http://link.springer.com/article/10.1007/s00236-006-0034-8","Article"
"Ugo Montanari and Friends","Concurrency, Graphs and Models","","","","10.1007/978-3-540-68679-8_45","Fabio Gadducci","2008","http://link.springer.com/chapter/10.1007/978-3-540-68679-8_45","Chapter"
"Acknowledgement to Referees","Acta Informatica","","44","7 - 8","10.1007/s00236-007-0063-y","","2007","http://link.springer.com/article/10.1007/s00236-007-0063-y","Article"
"A calculus of refinements for program derivations","Acta Informatica","","25","6","10.1007/BF00291051","R. J. R. Back","1988","http://link.springer.com/article/10.1007/BF00291051","Article"
"Dispatcher primitives for the construction of operating system kernels","Acta Informatica","","5","4","10.1007/BF00264560","Dr. J. Nehmer","1975","http://link.springer.com/article/10.1007/BF00264560","Article"
"Disambiguating grammars by exclusion of sub-parse trees","Acta Informatica","","33","5","10.1007/BF03036460","Mikkel Thorup","1996","http://link.springer.com/article/10.1007/BF03036460","Article"
"Aspects of Classical Language Theory","Handbook of Formal Languages","","","","10.1007/978-3-642-59136-5_4","Alexandru MateescuArto Salomaa","1997","http://link.springer.com/chapter/10.1007/978-3-642-59136-5_4","Chapter"
"Composition and evaluation of attribute coupled grammars","Acta Informatica","","25","4","10.1007/BF02737108","Robert Giegerich","1988","http://link.springer.com/article/10.1007/BF02737108","Article"
"An axiomatic proof technique for parallel programs I","Acta Informatica","","6","4","10.1007/BF00268134","Susan OwickiDavid Gries","1976","http://link.springer.com/article/10.1007/BF00268134","Article"
"Erratum","Acta Informatica","","5","1 - 3","10.1007/BF00265078","","1975","http://link.springer.com/article/10.1007/BF00265078","Article"
"Social Informatics:An Emerging Discipline?","Social Informatics: An Information Society for all? In Remembrance of Rob Kling","","","","10.1007/978-0-387-37876-3_6","Vasja Vehovar","2006","http://link.springer.com/chapter/10.1007/978-0-387-37876-3_6","Chapter"
"Fast allocation and deallocation with an improved buddy system","Acta Informatica","","41","4 - 5","10.1007/s00236-004-0159-6","Gerth Stølting BrodalErik D. DemaineJ. Ian Munro","2005","http://link.springer.com/article/10.1007/s00236-004-0159-6","Article"
"The Turing Machine May Not Be the Universal Machine","Minds and Machines","","12","1","10.1023/A:1013746105950","Matjaz Gams","2002","http://link.springer.com/article/10.1023/A%3A1013746105950","Article"
"Model Intervals","Reliable Computing","","7","2","10.1023/A:1011465930178","Ernest GardeñesMiguel Á. SainzLambert JorbaRemei CalmRosa EstelaHonorino MielgoAlbert Trepat","2001","http://link.springer.com/article/10.1023/A%3A1011465930178","Article"
"Deontic concepts in the algebraic specification of dynamic systems: The permission case","Recent Trends in Data Type Specification","","","","10.1007/3-540-61629-2_42","Eva CosciaGianna Reggio","1996","http://link.springer.com/chapter/10.1007/3-540-61629-2_42","Chapter"
"A model of a virtual memory system","Acta Informatica","","6","4","10.1007/BF00268138","A. Brandwajn","1976","http://link.springer.com/article/10.1007/BF00268138","Article"
"Optimum binary search trees","Acta Informatica","","1","3","10.1007/BF00288690","Donald E. Knuth","1972","http://link.springer.com/article/10.1007/BF00288690","Article"
"On proving that certain languages are not ETOL","Acta Informatica","","6","4","10.1007/BF00268142","A. EhrenfeuchtG. Rozenberg","1976","http://link.springer.com/article/10.1007/BF00268142","Article"
"Proof of termination within a weak logic of programs","Acta Informatica","","8","1","10.1007/BF00276182","David C. LuckhamNorihisa Suzuki","1977","http://link.springer.com/article/10.1007/BF00276182","Article"
"Choosing a storage schema","Acta Informatica","","3","4","10.1007/BF00263586","C. C. GotliebFrank W. Tompa","1974","http://link.springer.com/article/10.1007/BF00263586","Article"
"A note on degrees of context-sensitivity","Acta Informatica","","5","4","10.1007/BF00264568","P. F. Schuler","1975","http://link.springer.com/article/10.1007/BF00264568","Article"
"Nonterminals, homomorphisms and codings in different variations of OL-systems","Acta Informatica","","4","1","10.1007/BF00288938","M. NielsenG. RozenbergA. SalomaaS. Skyum","1974","http://link.springer.com/article/10.1007/BF00288938","Article"
"LALR(1, 1) parser generation for regular right part grammars","Acta Informatica","","21","1","10.1007/BF00289138","N. P. Chapman","1984","http://link.springer.com/article/10.1007/BF00289138","Article"
"On the semantics of logic programs","Automata, Languages and Programming","","","","10.1007/3-540-54233-7_121","Maurizio GabbrielliGiorgio Levi","1991","http://link.springer.com/chapter/10.1007/3-540-54233-7_121","Chapter"
"Notiziario","CALCOLO","","6","3 - 4","10.1007/BF02575702","","1969","http://link.springer.com/article/10.1007/BF02575702","Article"
"Addenda and corrigenda","Acta Informatica","","7","3","10.1007/BF00290341","P. E. LauerR. H. Campbell","1977","http://link.springer.com/article/10.1007/BF00290341","Article"
"Acknowledgement to referees","Acta Informatica","","24","6","10.1007/BF00282623","","1987","http://link.springer.com/article/10.1007/BF00282623","Article"
"On graph rewriting systems (Graph-Grammars)","Graph-Grammars and Their Application to Computer Science","","","","10.1007/BFb0000123","M. Nagl","1983","http://link.springer.com/chapter/10.1007/BFb0000123","Chapter"
"In memoriam: Andrei Petrovich Ershov","Acta Informatica","","27","3","10.1007/BF00572987","F. L. Bauer","1989","http://link.springer.com/article/10.1007/BF00572987","Article"
"The Conception of Agents as Part of a Social Model of Distance Learning","Advances in Artificial Intelligence","","","","10.1007/3-540-36127-8_14","João Luiz JungPatrícia Augustin JaquesAdja Ferreira de AndradeRosa Maria Vicari","2002","http://link.springer.com/chapter/10.1007/3-540-36127-8_14","Chapter"
"Tokenising, Stemming and Stopword Removal on Anti-spam Filtering Domain","Current Topics in Artificial Intelligence","","","","10.1007/11881216_47","J. R. MéndezE. L. IglesiasF. Fdez-RiverolaF. DíazJ. M. Corchado","2006","http://link.springer.com/chapter/10.1007/11881216_47","Chapter"
"Transformational methods and their application to complexity problems","Acta Informatica","","6","1","10.1007/BF00263746","Prof. Dr. Burkhard Monien","1976","http://link.springer.com/article/10.1007/BF00263746","Article"
"Design Innovation for Enterprise Software","Design, User Experience, and Usability. Theory, Methods, Tools and Practice","","","","10.1007/978-3-642-21675-6_47","Mark DetweilerLiam Friedland","2011","http://link.springer.com/chapter/10.1007/978-3-642-21675-6_47","Chapter"
"Computer Science Teacher Training at the University of Groningen","Informatics Education - Supporting Computational Thinking","","","","10.1007/978-3-540-69924-8_25","Nataša Grgurina","2008","http://link.springer.com/chapter/10.1007/978-3-540-69924-8_25","Chapter"
"Access and Usage Control in Grid Systems","Handbook of Information and Communication Security","","","","10.1007/978-3-642-04117-4_16","Maurizio ColomboAliaksandr LazouskiFabio MartinelliPaolo Mori","2010","http://link.springer.com/chapter/10.1007/978-3-642-04117-4_16","Chapter"
"Proving properties of interacting processes","Acta Informatica","","4","2","10.1007/BF00288744","Glen Newton","1975","http://link.springer.com/article/10.1007/BF00288744","Article"
"Transition systems with algebraic structure as models of computations","Semantics of Systems of Concurrent Processes","","","","10.1007/3-540-53479-2_8","Andrea CorradiniGian Luigi FerrariUgo Montanari","1990","http://link.springer.com/chapter/10.1007/3-540-53479-2_8","Chapter"
"On procedures as open subroutines. II","Acta Informatica","","3","3","10.1007/BF00288636","Prof. Dr. Hans Langmaack","1974","http://link.springer.com/article/10.1007/BF00288636","Article"
"On the max-entropy rule for a binary search tree","Acta Informatica","","12","1","10.1007/BF00264017","Yasuichi HoribeTibor O. H. Nemetz","1979","http://link.springer.com/article/10.1007/BF00264017","Article"
"The size of random bucket trees via urn models","Acta Informatica","","41","1","10.1007/s00236-004-0148-9","Hosam M. Mahmoud","2004","http://link.springer.com/article/10.1007/s00236-004-0148-9","Article"
"Comments on “A comparison of two synchronizing concepts by P.B. Hansen”","Acta Informatica","","1","4","10.1007/BF00289516","P. J. CourtoisF. HeymansProf. D. L. Parnas","1972","http://link.springer.com/article/10.1007/BF00289516","Article"
"A formal analysis of database replication protocols with SI replicas and crash failures","The Journal of Supercomputing","","50","2","10.1007/s11227-008-0255-4","José Ramón González de MendívilJosé Enrique Armendáriz-IñigoJosé Ramón GaritagoitiaFrancesc D. Muñoz-Escoí","2009","http://link.springer.com/article/10.1007/s11227-008-0255-4","Article"
"Load sharing in distributed systems with failures","Acta Informatica","","25","6","10.1007/BF00291054","Satish K. TripathiDavid FinkelErol Gelenbe","1988","http://link.springer.com/article/10.1007/BF00291054","Article"
"Nearly optimal binary search trees","Acta Informatica","","5","4","10.1007/BF00264563","Kurt Mehlhorn","1975","http://link.springer.com/article/10.1007/BF00264563","Article"
"Integrating Physics and Computer Education in a Single Process","Designing Computer-Based Learning Materials","","","","10.1007/978-3-642-82654-2_7","Elena Sassi","1986","http://link.springer.com/chapter/10.1007/978-3-642-82654-2_7","Chapter"
"A closer look at termination","Acta Informatica","","5","4","10.1007/BF00264565","Shmuel KatzZohar Manna","1975","http://link.springer.com/article/10.1007/BF00264565","Article"
"Theoretical Issues of Logic Programming","Logic Programming","","","","10.1007/978-94-009-5044-3_2","Isaac BalbinKoenraad Lecot","1985","http://link.springer.com/chapter/10.1007/978-94-009-5044-3_2","Chapter"
"Substitution of grammar forms","Acta Informatica","","5","4","10.1007/BF00264567","Seymour GinsburgEdwin H. Spanier","1975","http://link.springer.com/article/10.1007/BF00264567","Article"
"Acknowledgement to referees","Acta Informatica","","23","6","10.1007/BF00264316","","1986","http://link.springer.com/article/10.1007/BF00264316","Article"
"Extended directed graphs, a formalism for structured data and data structures","Acta Informatica","","8","1","10.1007/BF00276183","M. E. Majster","1977","http://link.springer.com/article/10.1007/BF00276183","Article"
"Language design methods based on semantic principles","Acta Informatica","","8","2","10.1007/BF00289243","R. D. Tennent","1977","http://link.springer.com/article/10.1007/BF00289243","Article"
"Total lineare Realisierbarkeit endlicher Automaten","Acta Informatica","","3","4","10.1007/BF00263591","Dr. Lutz Eichner","1974","http://link.springer.com/article/10.1007/BF00263591","Article"
"The publisher's announcement","Acta Informatica","","18","1","10.1007/BF00625284","","1982","http://link.springer.com/article/10.1007/BF00625284","Article"
"Nonterminals, homomorphisms and codings in different variations of OL-systems","Acta Informatica","","3","4","10.1007/BF00263589","M. NielsenG. RozenbergA. SalomaaS. Skyum","1974","http://link.springer.com/article/10.1007/BF00263589","Article"
"Some extended semaphore primitives","Acta Informatica","","8","3","10.1007/BF00264467","Tilak Agerwala","1977","http://link.springer.com/article/10.1007/BF00264467","Article"
